repo_type,catalog_tier,rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,homepage,github_url,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_vuln,max_cvss_severity,vuln_types,top_cwes,latest_vuln_date,sample_vuln_titles,tags,download_url,requires_wp,tested_up_to,github_repo_type,num_ratings,parent_theme
plugin,top,1,Elementor Website Builder – More Than Just a Page Builder,elementor,10000000,90,4.5,Blocks+Classic,2026-03-25 6:41pm GMT,https://elementor.com/?utm_source=wp-plugins&utm_campaign=plugin-uri&utm_medium=wp-dash,https://github.com/elementor/elementor,https://wordpress.org/plugins/elementor/,56,1,9.9,,Critical,,CWE-200; CWE-22; CWE-269; CWE-287; CWE-434; CWE-79; CWE-80; CWE-862; CWE-89,2025-12-16,,"drag-and-drop, editor, elementor, landing page, page builder",,6.6,6.9.4,official,,
plugin,top,2,Yoast SEO – Advanced SEO with real-time guidance and built-in AI,wordpress-seo,10000000,96,4.8,Blocks+Classic,2026-03-17 9:35am GMT,https://yoa.st/1uj,https://github.com/Yoast/wordpress-seo,https://wordpress.org/plugins/wordpress-seo/,30,0,6.4,,Medium,,CWE-200; CWE-352; CWE-362; CWE-79; CWE-89,2024-05-16,,"Content analysis, Readability, schema, seo, xml sitemap",,6.8,6.9.4,official,,
plugin,top,3,Contact Form 7,contact-form-7,10000000,80,4.0,Editor-agnostic,2026-02-08 9:32am GMT,https://contactform7.com/,https://github.com/takayukister/contact-form-7,https://wordpress.org/plugins/contact-form-7/,12,0,6.6,,Medium,,CWE-434; CWE-601; CWE-79,2025-04-16,,"contact form, schema-woven validation",,6.7,6.9.4,official,,
plugin,top,4,Classic Editor,classic-editor,9000000,98,4.9,Classic-only,2025-12-08 10:40am GMT,https://wordpress.org/plugins/classic-editor/,https://github.com/WordPress/classic-editor,https://wordpress.org/plugins/classic-editor/,0,0,,,,,,,,"block-editor, classic editor, editor, gutenberg",,4.9,6.9.4,official,,
plugin,top,5,LiteSpeed Cache,litespeed-cache,7000000,96,4.8,Editor-agnostic,2026-03-17 6:19pm GMT,https://www.litespeedtech.com/products/cache-plugins/wordpress-acceleration,https://github.com/litespeedtech/lscache_wp,https://wordpress.org/plugins/litespeed-cache/,19,0,9.8,,Critical,,CWE-23; CWE-266; CWE-352; CWE-522; CWE-79; CWE-862; CWE-918,2025-10-29,,"Optimize, caching, pagespeed, performance, seo",,5.3,6.9.4,official,,
plugin,top,6,WooCommerce,woocommerce,7000000,90,4.5,Blocks+Classic,2026-03-12 4:10pm GMT,https://woocommerce.com/,https://github.com/woocommerce/woocommerce,https://wordpress.org/plugins/woocommerce/,95,2,6.5,,Medium,,CWE-116; CWE-22; CWE-284; CWE-352; CWE-639; CWE-74; CWE-79; CWE-80; CWE-863; CWE-89,2025-12-22,,"ecommerce, online store, sell online, shop, shopping cart",,6.8,6.9.4,official,,
plugin,top,7,Akismet Anti-spam: Spam Protection,akismet,6000000,94,4.7,Editor-agnostic,2025-11-12 4:31pm GMT,https://akismet.com/,https://github.com/Automattic/akismet,https://wordpress.org/plugins/akismet/,4,0,,,,,CWE-79,2019-08-28,,"anti-spam, antispam, comments, contact form, spam",,5.8,6.9.4,official,,
plugin,top,8,"WPForms – Easy Form Builder for WordPress – Contact Forms, Payment Forms, Surveys, & More",wpforms-lite,6000000,96,4.8,Blocks+Classic,2026-03-19 12:20pm GMT,https://wpforms.com,https://github.com/awesomemotive/wpforms-lite,https://wordpress.org/plugins/wpforms-lite/,23,1,8.5,,High,,CWE-352; CWE-472; CWE-79; CWE-862,2026-01-13,,"contact form, contact form plugin, custom form, form builder, forms",,5.5,6.9.4,official,,
plugin,top,9,"Site Kit by Google – Analytics, Search Console, AdSense, Speed",google-site-kit,5000000,84,4.2,Blocks+Classic,2026-03-23 9:44pm GMT,https://sitekit.withgoogle.com,https://github.com/google/site-kit-wp,https://wordpress.org/plugins/google-site-kit/,4,0,4.3,,Medium,,CWE-252,2023-07-07,,"Search Console, adsense, analytics, google, pagespeed insights",,5.2,6.9.4,official,,
plugin,top,10,All-in-One WP Migration and Backup,all-in-one-wp-migration,5000000,90,4.5,Editor-agnostic,2026-03-16 12:02pm GMT,https://servmask.com/,https://github.com/wp-plugins/all-in-one-wp-migration,https://wordpress.org/plugins/all-in-one-wp-migration/,19,0,7.5,,High,,CWE-200; CWE-22; CWE-434; CWE-502; CWE-79; CWE-94,2025-03-13,,"backup, clone, export-import, migrate, move wordpress",,3.3,6.9.4,mirror,,
