rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,parent_theme,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
1,Twenty Twenty-Five,twentytwentyfive,1000000,84,4.2,FSE,2025-12-03,,https://wordpress.org/themes/twentytwentyfive/,https://github.com/WordPress/twentytwentyfive,official,https://wordpress.org/themes/twentytwentyfive/,0,0,,,,,"Accessibility ready, Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, News, One column, Portfolio, RTL language support, Sticky post, Style variations, Threaded comments, Translation ready, Wide blocks"
2,Hello Elementor,hello-elementor,1000000,84,4.2,Classic,2026-03-16,,https://wordpress.org/themes/hello-elementor/,https://github.com/elementor/hello-theme,official,https://wordpress.org/themes/hello-elementor/,1,0,4.3,Medium,2024-04-12,CWE-352,"Accessibility ready, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, RTL language support, Threaded comments, Translation ready"
3,Astra,astra,1000000,98,4.9,Gutenberg-compatible,2026-03-24,,https://wordpress.org/themes/astra/,,,https://wordpress.org/themes/astra/,2,0,6.4,Medium,2024-04-09,CWE-79,"Blog, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Entertainment, Featured images, Full width template, Left sidebar, Microformats, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
4,Twenty Twenty-Four,twentytwentyfour,600000,76,3.8,FSE,2025-12-03,,https://wordpress.org/themes/twentytwentyfour/,https://github.com/WordPress/twentytwentyfour,official,https://wordpress.org/themes/twentytwentyfour/,0,0,,,,,"Accessibility ready, Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, News, One column, Portfolio, RTL language support, Sticky post, Style variations, Threaded comments, Translation ready, Wide blocks"
5,Twenty Twenty-Three,twentytwentythree,300000,68,3.4,FSE,2024-11-13,,https://wordpress.org/themes/twentytwentythree/,https://github.com/WordPress/twentytwentythree,official,https://wordpress.org/themes/twentytwentythree/,0,0,,,,,"Accessibility ready, Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, News, One column, Portfolio, RTL language support, Sticky post, Style variations, Threaded comments, Translation ready, Wide blocks"
6,Kadence,kadence,400000,98,4.9,Gutenberg-ready,2026-02-25,,https://wordpress.org/themes/kadence/,,,https://wordpress.org/themes/kadence/,0,0,,,,,"Accessibility ready, Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Left sidebar, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
7,Hello Biz,hello-biz,100000,44,2.2,Gutenberg-ready,2026-03-17,,https://wordpress.org/themes/hello-biz/,,,https://wordpress.org/themes/hello-biz/,0,0,,,,,"Custom colors, Custom logo, Custom menu, Featured images, Flexible header, RTL language support, Style variations, Threaded comments, Translation ready"
8,Extendable,extendable,200000,100,5.0,FSE,2026-03-05,,https://wordpress.org/themes/extendable/,https://github.com/extendify/extendable,official,https://wordpress.org/themes/extendable/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, One column, RTL language support, Sticky post, Threaded comments"
9,OceanWP,oceanwp,500000,98,4.9,Gutenberg-ready,2026-02-16,,https://wordpress.org/themes/oceanwp/,,,https://wordpress.org/themes/oceanwp/,5,0,,,2025-06-19,,"Accessibility ready, Block editor styles, Blog, BuddyPress, Custom background, Custom colors, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, News, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
10,Twenty Twenty-One,twentytwentyone,200000,84,4.2,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentytwentyone/,https://github.com/WordPress/twentytwentyone,official,https://wordpress.org/themes/twentytwentyone/,0,0,,,,,"Accessibility ready, Block editor patterns, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, One column, Portfolio, RTL language support, Sticky post, Threaded comments, Translation ready"
11,Twenty Twenty-Two,twentytwentytwo,200000,64,3.2,FSE,2025-12-03,,https://wordpress.org/themes/twentytwentytwo/,https://github.com/WordPress/twentytwentytwo,official,https://wordpress.org/themes/twentytwentytwo/,0,0,,,,,"Accessibility ready, Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, News, One column, Portfolio, RTL language support, Sticky post, Style variations, Threaded comments, Wide blocks"
12,Blocksy,blocksy,300000,100,5.0,Gutenberg-ready,2026-03-12,,https://wordpress.org/themes/blocksy/,,,https://wordpress.org/themes/blocksy/,12,0,6.5,Medium,2025-08-14,CWE-20; CWE-352; CWE-79; CWE-862,"Accessibility ready, Block editor patterns, Block editor styles, Blog, Custom colors, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
13,GeneratePress,generatepress,500000,100,5.0,Classic,2025-12-01,,https://wordpress.org/themes/generatepress/,,,https://wordpress.org/themes/generatepress/,0,0,,,,,"Blog, BuddyPress, Custom background, Custom colors, Custom header, Custom menu, E-commerce, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
14,Bluehost Blueprint,bluehost-blueprint,20000,0,0.0,FSE,2025-10-03,,https://wordpress.org/themes/bluehost-blueprint/,https://github.com/newfold-labs/wp-theme-bluehost-blueprint,official,https://wordpress.org/themes/bluehost-blueprint/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Portfolio, Sticky post, Template editing, Theme options, Threaded comments, Translation ready, Wide blocks"
15,Twenty Seventeen,twentyseventeen,300000,90,4.5,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentyseventeen/,https://github.com/WordPress/twentyseventeen,official,https://wordpress.org/themes/twentyseventeen/,0,0,,,,,"Accessibility ready, Block editor patterns, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
16,Neve,neve,200000,94,4.7,Gutenberg-ready,2026-03-09,,https://wordpress.org/themes/neve/,https://github.com/Codeinwp/neve,official,https://wordpress.org/themes/neve/,0,0,,,,,"Accessibility ready, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
17,Twenty Twenty,twentytwenty,200000,88,4.4,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentytwenty/,https://github.com/WordPress/twentytwenty,official,https://wordpress.org/themes/twentytwenty/,0,0,,,,,"Accessibility ready, Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Full width template, One column, RTL language support, Sticky post, Theme options, Threaded comments, Translation ready, Wide blocks"
18,Unibiz,unibiz,10000,0,0.0,FSE,2025-12-08,,https://wordpress.org/themes/unibiz/,,,https://wordpress.org/themes/unibiz/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Right sidebar, Template editing, Theme options"
19,Royal Elementor Kit,royal-elementor-kit,100000,100,5.0,Classic,2026-03-12,,https://wordpress.org/themes/royal-elementor-kit/,,,https://wordpress.org/themes/royal-elementor-kit/,2,0,4.3,Medium,2024-04-24,CWE-352; CWE-862,"Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Featured images, Full width template, One column, Sticky post, Theme options, Threaded comments, Translation ready"
