rank,name,slug,active_installs,rating_pct,rating_5star,num_ratings,editor_support,last_updated,parent_theme,homepage,github_url,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
1,Hello Biz,hello-biz,100000,44,2.2,6,Gutenberg-ready,2026-03-17,,https://wordpress.org/themes/hello-biz/,,https://wordpress.org/themes/hello-biz/,0,0,,,,,"Custom colors, Custom logo, Custom menu, Featured images, Flexible header, RTL language support, Style variations, Threaded comments, Translation ready"
2,Rufous,rufous,10000,46,2.3,3,Classic,2025-11-26,,https://wordpress.org/themes/rufous/,,https://wordpress.org/themes/rufous/,0,0,,,,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
3,Consulting,consulting,10000,60,3.0,19,Classic,2026-02-24,,https://wordpress.org/themes/consulting/,,https://wordpress.org/themes/consulting/,3,2,7.3,High,2025-12-31,CWE-22; CWE-79,"Blog, Custom background, Custom header, Custom menu, E-commerce, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Photography, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
4,Teluro,teluro,4000,60,3.0,3,Classic,2025-11-25,,https://wordpress.org/themes/teluro/,,https://wordpress.org/themes/teluro/,1,0,4.3,Medium,2024-04-26,CWE-352,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
5,Kiosko,kiosko,3000,40,2.0,1,FSE,2024-09-11,,https://wordpress.org/themes/kiosko/,,https://wordpress.org/themes/kiosko/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, E-commerce, Featured images, Four columns, RTL language support, Sticky post, Template editing, Threaded comments, Translation ready, Wide blocks"
6,Newspaperex,newspaperex,3000,60,3.0,1,Gutenberg-ready,2024-04-17,newsup,https://wordpress.org/themes/newspaperex/,,https://wordpress.org/themes/newspaperex/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
7,Blockskit Base,blockskit-base,2000,60,3.0,1,FSE,2025-12-09,,https://wordpress.org/themes/blockskit-base/,,https://wordpress.org/themes/blockskit-base/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Education, Featured images, One column, Portfolio, RTL language support, Threaded comments, Translation ready, Wide blocks"
8,Cube Blog,cube-blog,2000,60,3.0,2,Classic,2025-06-22,,https://wordpress.org/themes/cube-blog/,,https://wordpress.org/themes/cube-blog/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Entertainment, Featured images, One column, Portfolio, Threaded comments, Translation ready, Two columns"
9,Leslie,leslie,2000,60,3.0,1,Gutenberg-compatible,2025-10-19,,https://wordpress.org/themes/leslie/,,https://wordpress.org/themes/leslie/,0,0,,,,,"Custom background, Custom header, Editor style, Left sidebar, Theme options, Three columns, Translation ready, Two columns"
10,GamerNews,gamernews,1000,30,1.5,2,Gutenberg-ready,2026-03-20,morenews,https://wordpress.org/themes/gamernews/,,https://wordpress.org/themes/gamernews/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
